Rank,ShirtNumber,Name,Team,Spikes,Faults,Shots,Total attempts,Success %,Fault %
76,18,Nikolay Nikolov,BUL,7,1,7,15,46.66666667,6.666666667
77,20,Aleks Grozdanov,BUL,36,4,12,52,69.23076923,7.692307692
78,25,Radoslav Parapunov,BUL,3,1,1,5,60,20
79,26,Plamen Shekerdzhiev,BUL,3,3,6,12,25,25
80,30,Nikolay Kolev,BUL,1,0,0,1,100,0
81,2,John Gordon Perrin,CAN,74,31,79,184,40.2173913,16.84782609
82,4,Nicholas Hoag,CAN,113,40,65,218,51.83486239,18.34862385
83,5,Deanan Gyimah,CAN,9,0,2,11,81.81818182,0
84,6,Justin Duff,CAN,2,1,0,3,66.66666667,33.33333333
85,9,Jason Derocco,CAN,37,13,40,90,41.11111111,14.44444444
86,11,Daniel Jansen Vandoorn,CAN,8,1,3,12,66.66666667,8.333333333
87,12,Lucas Van Berkel,CAN,26,7,20,53,49.05660377,13.20754717
88,14,Eric Loeppky,CAN,6,3,10,19,31.57894737,15.78947368
89,16,Ryan Joseph Sclater,CAN,98,41,82,221,44.3438914,18.5520362
90,17,Graham Vigrass,CAN,67,6,39,112,59.82142857,5.357142857
91,20,Arthur Szwarc,CAN,38,11,19,68,55.88235294,16.17647059
92,21,Brett James Walsh,CAN,7,0,4,11,63.63636364,0
93,3,Tianyi Mao,CHN,1,0,3,4,25,0
94,8,Jingyi Wang,CHN,32,14,31,77,41.55844156,18.18181818
95,9,Yaochen Yu,CHN,4,0,1,5,80,0
96,10,Daoshuai Ji,CHN,32,9,21,62,51.61290323,14.51612903
97,11,Haixiang Du,CHN,46,17,47,110,41.81818182,15.45454545
98,12,Zhejia Zhang,CHN,29,7,21,57,50.87719298,12.28070175
99,13,Longhai Chen,CHN,41,12,20,73,56.16438356,16.43835616
100,17,Libin Liu,CHN,69,47,64,180,38.33333333,26.11111111
101,19,Guojun Zhan,CHN,2,1,3,6,33.33333333,16.66666667
102,20,Shuhan Rao,CHN,44,11,49,104,42.30769231,10.57692308
103,21,Ruantong Miao,CHN,5,0,3,8,62.5,0
104,23,Shikun Peng,CHN,10,3,3,16,62.5,18.75
105,1,Jonas Aguenier,FRA,22,3,5,30,73.33333333,10
106,5,Raphaël Corre,FRA,0,0,1,1,0,0
107,6,Benjamin Toniutti,FRA,1,1,4,6,16.66666667,16.66666667
108,7,Kevin Tillie,FRA,80,41,71,192,41.66666667,21.35416667
109,8,Julien Lyneel,FRA,55,19,41,115,47.82608696,16.52173913
110,9,Earvin Ngapeth,FRA,21,8,20,49,42.85714286,16.32653061
111,10,Kevin Le Roux,FRA,27,4,19,50,54,8
112,11,Antoine Brizard,FRA,11,2,12,25,44,8
113,12,Stephen Boyer,FRA,101,50,87,238,42.43697479,21.00840336
114,14,Nicolas Le Goff,FRA,53,6,27,86,61.62790698,6.976744186
115,16,Daryl Bultor,FRA,32,6,12,50,64,12
116,17,Trevor Clevenot,FRA,62,24,37,123,50.40650407,19.51219512
117,18,Thibault Rossard,FRA,57,26,56,139,41.00719424,18.70503597
118,19,Yacine Louati,FRA,44,22,48,114,38.59649123,19.29824561
119,21,Barthélémy Chinenyeze,FRA,81,21,37,139,58.27338129,15.10791367
120,23,Timothée Carle,FRA,42,20,19,81,51.85185185,24.69135802
121,2,Tobias Krick,GER,38,7,15,60,63.33333333,11.66666667
122,3,Ruben Schott,GER,92,51,94,237,38.8185654,21.51898734
123,5,Moritz Reichert,GER,81,30,92,203,39.90147783,14.77832512
124,7,David Sossenheimer,GER,33,17,34,84,39.28571429,20.23809524
125,8,Marcus Böhme,GER,40,13,11,64,62.5,20.3125
126,11,Lukas Kampa,GER,4,0,1,5,80,0
127,12,Anton Brehme,GER,84,19,52,155,54.19354839,12.25806452
128,15,Noah Baxpöhler,GER,44,9,21,74,59.45945946,12.16216216
129,16,Tomas Kocian-Falkenbach,GER,1,0,3,4,25,0
130,17,Jan Zimmermann,GER,3,2,2,7,42.85714286,28.57142857
131,18,Jakob Günthör,GER,3,1,7,11,27.27272727,9.090909091
132,19,Daniel Malescha,GER,26,14,15,55,47.27272727,25.45454545
133,20,Linus Weber,GER,23,11,27,61,37.70491803,18.03278689
134,4,Mir Saeid Marouflakrani,IRI,18,4,28,50,36,8
135,5,Farhad Ghaemi,IRI,23,7,29,59,38.98305085,11.86440678
136,6,Seyed Mohammad Mousavi Eraghi,IRI,94,27,33,154,61.03896104,17.53246753
137,9,Masoud Gholami,IRI,9,1,4,14,64.28571429,7.142857143
138,14,Mohammadjavad Manavinezhad,IRI,35,12,29,76,46.05263158,15.78947368
139,15,Aliasghar Mojarad,IRI,26,6,17,49,53.06122449,12.24489796
140,16,Ali Shafiei,IRI,81,13,51,145,55.86206897,8.965517241
141,20,Porya Yali,IRI,51,23,35,109,46.78899083,21.10091743
142,21,Morteza Sharifi,IRI,1,1,1,3,33.33333333,33.33333333
143,24,Javad Karimisouchelmaei,IRI,3,1,0,4,75,25
144,1,Davide Candellaro,ITA,14,4,10,28,50,14.28571429
145,2,Riccardo Sbertoli,ITA,3,1,5,9,33.33333333,11.11111111
146,3,Luca Spirito,ITA,2,0,0,2,100,0
147,6,Simone Giannelli,ITA,29,4,20,53,54.71698113,7.547169811
148,7,Giacomo Raffaelli,ITA,8,4,5,17,47.05882353,23.52941176
149,8,Daniele Mazzone,ITA,15,2,8,25,60,8
150,12,Fabio Ricci,ITA,5,2,7,14,35.71428571,14.28571429
151,14,Matteo Piano,ITA,19,3,10,32,59.375,9.375
152,15,Roberto Russo,ITA,66,11,38,115,57.39130435,9.565217391
153,17,Simone Anzani,ITA,29,3,12,44,65.90909091,6.818181818
154,19,Daniele Lavia,ITA,98,38,89,225,43.55555556,16.88888889
155,21,Alberto Polo,ITA,20,6,11,37,54.05405405,16.21621622
156,22,Oreste Cavuto,ITA,75,29,82,186,40.32258065,15.59139785
157,23,Andrea Argenta,ITA,10,4,5,19,52.63157895,21.05263158
158,24,Giulio Pinali,ITA,98,37,77,212,46.22641509,17.45283019
159,28,Francesco Recine,ITA,1,1,2,4,25,25
160,1,Issei Otake,JPN,64,40,57,161,39.7515528,24.8447205
161,2,Hideomi Fukatsu,JPN,0,0,1,1,0,0
162,3,Naonobu Fujii,JPN,3,1,3,7,42.85714286,14.28571429
163,5,Tatsuya Fukuzawa,JPN,91,21,78,190,47.89473684,11.05263158
164,6,Akihiro Yamauchi,JPN,49,13,31,93,52.68817204,13.97849462
165,8,Masahiro Yanagida,JPN,56,29,50,135,41.48148148,21.48148148
166,12,Masahiro Sekita,JPN,5,2,6,13,38.46153846,15.38461538
167,13,Naoya Takano,JPN,49,22,45,116,42.24137931,18.96551724
168,15,Haku Ri,JPN,38,11,29,78,48.71794872,14.1025641
169,17,Tsubasa Hisahara,JPN,10,3,14,27,37.03703704,11.11111111
170,20,Taishi Onodera,JPN,65,11,48,124,52.41935484,8.870967742
171,1,Piotr Nowakowski,POL,9,4,4,17,52.94117647,23.52941176
172,2,Maciej Muzaj,POL,111,23,107,241,46.05809129,9.543568465
173,3,Dawid Konarski,POL,73,21,49,143,51.04895105,14.68531469
174,4,Marcin Komenda,POL,3,0,3,6,50,0
175,5,Lukasz Kaczmarek,POL,91,39,67,197,46.1928934,19.79695431
176,7,Artur Szalpuk,POL,38,15,30,83,45.78313253,18.07228916
177,11,Fabian Drzyzga,POL,0,0,1,1,0,0
178,13,Michal Kubiak,POL,12,11,17,40,30,27.5
179,14,Aleksander Sliwka,POL,107,22,86,215,49.76744186,10.23255814
180,15,Jakub Kochanowski,POL,56,15,38,109,51.37614679,13.76146789
181,16,Bartlomiej Boladz,POL,20,8,15,43,46.51162791,18.60465116
182,18,Bartosz Kwolek,POL,108,44,93,245,44.08163265,17.95918367
183,19,Marcin Janusz,POL,2,1,0,3,66.66666667,33.33333333
184,20,Mateusz Bieniek,POL,55,5,29,89,61.79775281,5.617977528
185,21,Tomasz Fornal,POL,27,13,34,74,36.48648649,17.56756757
186,22,Bartosz Bednorz,POL,117,39,95,251,46.61354582,15.53784861
187,25,Michał Szalacha,POL,3,1,0,4,75,25
188,27,Piotr Łukasik,POL,40,12,24,76,52.63157895,15.78947368
189,28,Bartosz Filipiak,POL,8,3,9,20,40,15
190,77,Karol Klos,POL,67,10,28,105,63.80952381,9.523809524
191,99,Norbert Huber,POL,58,12,29,99,58.58585859,12.12121212
192,1,Valdir Sequeira,POR,14,8,7,29,48.27586207,27.5862069
193,3,Nuno Teixeira,POR,10,3,14,27,37.03703704,11.11111111
194,4,Filip Cveticanin,POR,69,16,37,122,56.55737705,13.1147541
195,8,Tiago Da Silva Violas,POR,4,0,5,9,44.44444444,0
196,9,Joao Simoes,POR,28,13,36,77,36.36363636,16.88311688
197,10,Phelipe Martins,POR,29,13,33,75,38.66666667,17.33333333
198,11,Bruno Cunha,POR,47,23,38,108,43.51851852,21.2962963
199,12,Lourenco Martins,POR,70,23,64,157,44.58598726,14.64968153
200,13,Caique Oswaldo Ferreira Da Silva,POR,53,19,36,108,49.07407407,17.59259259
201,15,Miguel Tavares Rodrigues,POR,12,1,7,20,60,5
202,2,Ilia Vlasov,RUS,6,3,4,13,46.15384615,23.07692308
203,3,Dmitry Kovalev,RUS,6,3,5,14,42.85714286,21.42857143
204,4,Denis Zemchenok,RUS,71,18,58,147,48.29931973,12.24489796
205,7,Dmitry Volkov,RUS,91,38,69,198,45.95959596,19.19191919
206,8,Anton Semyshev,RUS,17,8,10,35,48.57142857,22.85714286
207,9,Ivan Iakovlev,RUS,70,9,23,102,68.62745098,8.823529412
208,10,Fedor Voronkov,RUS,64,31,43,138,46.37681159,22.46376812
209,11,Igor Philippov,RUS,44,7,19,70,62.85714286,10
210,14,Yaroslav Podlesnykh,RUS,69,31,34,134,51.49253731,23.13432836
211,18,Egor Kliuka,RUS,111,41,82,234,47.43589744,17.52136752
212,20,Ilyas Kurkaev,RUS,107,22,44,173,61.84971098,12.71676301
213,24,Igor Kobzar,RUS,28,4,15,47,59.57446809,8.510638298
214,28,Kirill Klets,RUS,5,1,4,10,50,10
215,29,Kirill Ursov,RUS,6,0,7,13,46.15384615,0
216,1,Aleksandar Okolic,SRB,57,7,28,92,61.95652174,7.608695652
217,3,Milan Katic,SRB,39,17,43,99,39.39393939,17.17171717
218,4,Nemanja Petric,SRB,22,5,21,48,45.83333333,10.41666667
219,7,Petar Krsmanovic,SRB,73,8,32,113,64.60176991,7.079646018
220,8,Marko Ivovic,SRB,19,5,15,39,48.71794872,12.82051282
221,9,Nikola Jovovic,SRB,1,0,6,7,14.28571429,0
222,10,Miran Kujundžić,SRB,73,18,54,145,50.34482759,12.4137931
223,12,Dusan Petkovic,SRB,103,35,79,217,47.46543779,16.12903226
224,13,Stevan Simic,SRB,38,8,13,59,64.40677966,13.55932203
225,15,Nemanja Masulovic,SRB,6,0,3,9,66.66666667,0
226,16,Drazen Luburic,SRB,74,26,44,144,51.38888889,18.05555556
227,20,Srecko Lisinac,SRB,35,8,13,56,62.5,14.28571429
228,21,Vuk Todorovic,SRB,2,0,6,8,25,0
229,22,Andrija Vilimanovic,SRB,2,0,2,4,50,0
230,23,Bozidar Vucicevic,SRB,94,50,50,194,48.45360825,25.77319588
231,24,David Mehic,SRB,24,16,20,60,40,26.66666667
232,27,Stefan Kovacevic,SRB,3,0,4,7,42.85714286,0
233,28,Danilo Pavlovic,SRB,0,0,1,1,0,0
234,1,Matthew Anderson,USA,68,25,40,133,51.12781955,18.79699248
235,2,Aaron Russell,USA,17,8,15,40,42.5,20
236,3,Taylor Sander,USA,122,30,70,222,54.95495495,13.51351351
237,4,Jeffrey Jendryk Ii,USA,49,8,25,82,59.75609756,9.756097561
238,5,Kyle Ensing,USA,35,12,36,83,42.1686747,14.45783133
239,6,Mitchell Stahl,USA,25,6,23,54,46.2962963,11.11111111
240,7,Kawika Shoji,USA,5,1,3,9,55.55555556,11.11111111
241,8,Torey Defalco,USA,76,31,53,160,47.5,19.375
242,9,Jake Langlois,USA,19,2,19,40,47.5,5
243,11,Micah Christenson,USA,8,6,7,21,38.0952381,28.57142857
244,12,Maxwell Holt,USA,42,12,32,86,48.8372093,13.95348837
245,13,Benjamin Patch,USA,141,42,73,256,55.078125,16.40625
246,14,Micah Ma'a,USA,27,11,24,62,43.5483871,17.74193548
247,16,Joshua Tuaniga,USA,3,1,3,7,42.85714286,14.28571429
248,17,Thomas Jaeschke,USA,26,10,18,54,48.14814815,18.51851852
249,19,Taylor Averill,USA,18,4,7,29,62.06896552,13.79310345
250,20,David Smith,USA,68,11,41,120,56.66666667,9.166666667
251,25,Kyle Russell,USA,27,14,25,66,40.90909091,21.21212121
252,30,George Huhmann,USA,20,4,7,31,64.51612903,12.90322581
